n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
1,0,0,1,1,-49.5
1,0,1,1,1,-49.5
1,0,2,1,1,-49.5
1,0,3,0,0,-45.58000000000001
1,0,4,1,1,-49.5
1,0,5,1,1,-49.5
1,0,6,1,1,-49.5
1,0,7,1,1,-49.5
1,0,8,1,1,-49.5
1,0,9,1,1,-49.5
1,0,10,1,1,-49.5
1,0,11,1,1,-49.5
1,0,12,1,1,-49.5
1,0,13,1,1,-49.5
1,0,14,1,1,-49.5
1,0,15,1,1,-49.5
1,0,16,1,1,-49.5
1,0,17,0,0,-47.52000000000001
1,0,18,1,1,-49.5
1,0,19,1,1,-49.5
1,0,20,1,1,-49.5
1,0,21,0,0,-47.52000000000001
1,0,22,0,0,-47.52000000000002
1,0,23,1,1,-49.5
1,0,24,1,1,-49.5
1,0,25,1,1,-49.5
1,0,26,1,1,-49.5
1,0,27,1,1,-49.5
1,0,28,1,1,-49.5
1,0,29,1,1,-49.5
1,0,30,1,1,-49.5
1,0,31,0,0,-47.52000000000001
1,0,32,1,1,-49.5
1,0,33,1,1,-49.5
1,0,34,0,0,-43.680000000000014
1,0,35,0,0,-47.52000000000001
1,0,36,1,1,-49.5
1,0,37,0,0,-47.52000000000001
1,0,38,1,1,-49.5
1,0,39,1,1,-49.5
1,0,40,0,0,-45.58000000000001
1,0,41,1,1,-49.5
1,0,42,0,0,-45.58000000000001
1,0,43,1,1,-49.5
1,0,44,1,1,-49.5
1,0,45,1,1,-49.5
1,0,46,0,0,-47.52000000000001
1,0,47,1,1,-49.5
1,0,48,1,1,-49.5
1,0,49,0,0,-45.58000000000001
2,0,0,1,1,-49.32000000000001
2,1,0,1,1,-49.32000000000001
2,0,1,1,1,-49.32000000000001
2,1,1,1,1,-49.32000000000001
2,0,2,1,1,-49.32000000000001
2,1,2,1,1,-49.32000000000001
2,0,3,0,0,-47.20000000000002
2,1,3,1,1,-49.32000000000001
2,0,4,1,1,-49.32000000000001
2,1,4,1,1,-49.32000000000001
2,0,5,1,1,-49.32000000000001
2,1,5,1,1,-49.32000000000001
2,0,6,1,1,-49.32000000000001
2,1,6,0,0,-47.20000000000001
2,0,7,1,1,-49.32000000000001
2,1,7,1,1,-49.32000000000001
2,0,8,1,1,-49.32000000000001
2,1,8,1,1,-49.32000000000001
2,0,9,1,1,-49.32000000000001
2,1,9,1,1,-49.32000000000001
2,0,10,0,0,-47.20000000000002
2,1,10,1,1,-49.32000000000001
2,0,11,0,0,-47.20000000000002
2,1,11,1,1,-49.32000000000001
2,0,12,1,1,-49.32000000000001
2,1,12,1,1,-49.32000000000001
2,0,13,0,0,-47.2
2,1,13,0,0,-45.39999999999999
2,0,14,0,0,-47.2
2,1,14,0,0,-47.51999999999999
2,0,15,1,1,-49.32000000000001
2,1,15,1,1,-49.32000000000001
2,0,16,0,0,-47.51999999999999
2,1,16,0,0,-47.2
2,0,17,0,0,-47.2
2,1,17,0,0,-47.51999999999998
2,0,18,1,1,-49.32000000000001
2,1,18,0,0,-47.51999999999999
2,0,19,0,0,-47.20000000000002
2,1,19,1,1,-49.32000000000001
2,0,20,0,0,-47.51999999999999
2,1,20,0,0,-47.20000000000002
2,0,21,0,0,-47.51999999999999
2,1,21,0,0,-47.51999999999999
2,0,22,1,1,-49.32000000000001
2,1,22,1,1,-49.32000000000001
2,0,23,1,1,-49.32000000000001
2,1,23,1,1,-49.32000000000001
2,0,24,1,1,-49.32000000000001
2,1,24,1,1,-49.32000000000001
2,0,25,0,0,-47.51999999999999
2,1,25,1,1,-49.32000000000001
2,0,26,0,0,-47.2
2,1,26,1,1,-49.32000000000001
2,0,27,1,1,-49.32000000000001
2,1,27,1,1,-49.32000000000001
2,0,28,1,1,-49.32000000000001
2,1,28,0,0,-47.2
2,0,29,1,1,-49.32000000000001
2,1,29,1,1,-49.32000000000001
2,0,30,1,1,-49.32000000000001
2,1,30,1,1,-49.32000000000001
