trial,classification,final_energy,hamming_to_nearest_stored
0,Unknown Attractor,-38.660000,20
1,Stored,-49.860000,0
2,Inverted,-49.860000,100
3,Stored,-40.160000,5
4,Unknown Attractor,-38.660000,22
5,Stored,-48.900000,0
6,Inverted,-47.680000,99
7,Stored,-49.860000,0
8,Inverted,-49.860000,100
9,Stored,-47.680000,1
10,Mixture,-40.480000,27
11,Inverted,-48.160000,99
12,Inverted,-48.320000,99
13,Inverted,-50.100000,100
14,Stored,-48.900000,0
15,Stored,-46.020000,2
16,Inverted,-49.860000,100
17,Stored,-47.200000,1
18,Inverted,-47.680000,99
19,Inverted,-47.680000,99
20,Inverted,-47.200000,99
21,Stored,-44.980000,2
22,Inverted,-47.680000,99
23,Inverted,-47.520000,99
24,Inverted,-47.200000,99
25,Stored,-48.900000,0
26,Stored,-50.100000,0
27,Unknown Attractor,-35.680000,23
28,Stored,-48.000000,1
29,Stored,-47.680000,1
30,Unknown Attractor,-38.660000,20
31,Unknown Attractor,-32.180000,26
32,Stored,-49.860000,0
33,Inverted,-50.100000,100
34,Inverted,-48.000000,99
35,Inverted,-50.100000,100
36,Mixture,-42.400000,25
37,Unknown Attractor,-34.500000,68
38,Inverted,-47.680000,99
39,Unknown Attractor,-36.160000,25
40,Inverted,-49.860000,100
41,Stored,-48.900000,0
42,Mixture,-43.700000,74
43,Stored,-48.000000,1
44,Stored,-48.900000,0
45,Inverted,-50.100000,100
46,Inverted,-49.860000,100
47,Unknown Attractor,-33.600000,67
48,Stored,-50.100000,0
49,Stored,-49.860000,0
50,Mixture,-43.700000,74
51,Stored,-50.100000,0
52,Inverted,-48.900000,100
53,Mixture,-41.380000,74
54,Inverted,-48.000000,99
55,Mixture,-43.700000,74
56,Inverted,-50.100000,100
57,Stored,-48.900000,0
58,Stored,-50.100000,0
59,Stored,-50.100000,0
60,Inverted,-48.320000,99
61,Stored,-48.900000,0
62,Stored,-50.100000,0
63,Stored,-50.100000,0
64,Stored,-49.860000,0
65,Stored,-49.860000,0
66,Stored,-44.320000,3
67,Stored,-48.900000,0
68,Inverted,-48.900000,100
69,Inverted,-47.040000,99
70,Unknown Attractor,-34.500000,68
71,Inverted,-49.860000,100
72,Stored,-48.900000,0
73,Inverted,-48.900000,100
74,Unknown Attractor,-38.660000,20
75,Inverted,-49.860000,100
76,Inverted,-46.720000,99
77,Stored,-47.680000,1
78,Unknown Attractor,-33.120000,21
79,Mixture,-43.700000,74
80,Inverted,-48.900000,100
81,Inverted,-50.100000,100
82,Inverted,-48.320000,99
83,Stored,-50.100000,0
84,Inverted,-49.860000,100
85,Inverted,-49.860000,100
86,Stored,-50.100000,0
87,Inverted,-49.860000,100
88,Stored,-49.860000,0
89,Inverted,-49.860000,100
90,Inverted,-50.100000,100
91,Stored,-49.860000,0
92,Stored,-45.860000,2
93,Inverted,-48.320000,99
94,Inverted,-48.900000,100
95,Inverted,-48.900000,100
96,Unknown Attractor,-32.180000,26
97,Inverted,-48.900000,100
98,Inverted,-49.860000,100
99,Stored,-48.000000,1
100,Mixture,-43.700000,26
101,Stored,-50.100000,0
102,Mixture,-42.720000,73
103,Stored,-49.860000,0
104,Stored,-48.900000,0
105,Inverted,-48.900000,100
106,Inverted,-50.100000,100
107,Inverted,-50.100000,100
108,Inverted,-50.100000,100
109,Stored,-49.860000,0
110,Inverted,-46.880000,99
111,Inverted,-48.900000,100
112,Unknown Attractor,-34.500000,68
113,Mixture,-43.700000,74
114,Stored,-47.680000,1
115,Inverted,-50.100000,100
116,Inverted,-48.900000,100
117,Stored,-49.860000,0
118,Inverted,-47.680000,99
119,Stored,-47.200000,1
120,Inverted,-50.100000,100
121,Inverted,-48.900000,100
122,Mixture,-43.700000,26
