corruption_level,trial,strict_success,inversion_tolerant_success,steps_to_converge,initial_energy,final_energy
0.1,0,0,0,4,-31.500000000000004,-47.52000000000001
0.1,1,1,1,4,-31.500000000000004,-49.5
0.1,2,1,1,4,-31.500000000000007,-49.5
0.1,3,1,1,4,-31.500000000000004,-49.5
0.1,4,1,1,3,-31.500000000000004,-49.5
0.1,5,0,0,2,-31.500000000000004,-43.680000000000014
0.1,6,1,1,4,-31.500000000000007,-49.5
0.1,7,1,1,3,-31.499999999999996,-49.5
0.1,8,1,1,4,-31.500000000000004,-49.5
0.1,9,0,0,3,-31.500000000000007,-45.58000000000001
0.1,10,0,0,3,-31.5,-47.52000000000001
0.1,11,1,1,4,-31.500000000000004,-49.5
0.1,12,1,1,4,-31.500000000000004,-49.5
0.1,13,0,0,4,-31.500000000000004,-47.52000000000001
0.1,14,1,1,4,-31.5,-49.5
0.1,15,1,1,3,-31.500000000000007,-49.5
0.1,16,1,1,5,-31.500000000000007,-49.5
0.1,17,1,1,4,-31.500000000000004,-49.5
0.1,18,1,1,4,-31.500000000000007,-49.5
0.1,19,1,1,4,-31.500000000000007,-49.5
0.1,20,1,1,3,-31.500000000000004,-49.5
0.1,21,0,0,2,-31.5,-45.58000000000001
0.1,22,1,1,4,-31.500000000000004,-49.5
0.1,23,1,1,3,-31.500000000000004,-49.5
0.1,24,0,0,4,-31.500000000000007,-47.52000000000001
0.1,25,0,0,3,-31.500000000000004,-47.52000000000001
0.1,26,1,1,4,-31.5,-49.5
0.1,27,1,1,2,-31.500000000000007,-49.5
0.1,28,1,1,5,-31.500000000000004,-49.5
0.1,29,1,1,3,-31.500000000000004,-49.5
0.1,30,1,1,4,-31.500000000000004,-49.5
0.1,31,1,1,3,-31.500000000000004,-49.5
0.1,32,1,1,5,-31.500000000000004,-49.5
0.1,33,0,0,4,-31.5,-47.52000000000001
0.1,34,0,0,3,-31.500000000000004,-47.52000000000001
0.1,35,1,1,4,-31.5,-49.5
0.1,36,1,1,4,-31.500000000000007,-49.5
0.1,37,1,1,4,-31.500000000000007,-49.5
0.1,38,1,1,3,-31.500000000000007,-49.5
0.1,39,1,1,4,-31.500000000000007,-49.5
0.1,40,1,1,4,-31.5,-49.5
0.1,41,1,1,4,-31.500000000000004,-49.5
0.1,42,0,0,3,-31.500000000000007,-47.52000000000001
0.1,43,1,1,3,-31.500000000000007,-49.5
0.1,44,1,1,5,-31.500000000000004,-49.5
0.1,45,0,0,3,-31.500000000000007,-47.52000000000001
0.1,46,1,1,4,-31.500000000000004,-49.5
0.1,47,1,1,4,-31.500000000000007,-49.5
0.1,48,0,0,3,-31.500000000000004,-45.58000000000001
0.1,49,1,1,5,-31.5,-49.5
0.25,0,0,0,4,-11.999999999999996,-47.52000000000001
0.25,1,0,0,4,-11.999999999999993,-47.52000000000001
0.25,2,1,1,5,-11.999999999999993,-49.5
0.25,3,1,1,4,-11.999999999999996,-49.5
0.25,4,1,1,4,-11.999999999999996,-49.5
0.25,5,1,1,5,-12.0,-49.5
0.25,6,0,0,5,-11.999999999999998,-47.52000000000001
0.25,7,1,1,5,-11.999999999999996,-49.5
0.25,8,0,0,3,-11.999999999999995,-47.52000000000001
0.25,9,0,0,4,-11.999999999999996,-47.52000000000001
0.25,10,1,1,6,-11.999999999999996,-49.5
0.25,11,1,1,4,-12.0,-49.5
0.25,12,1,1,4,-11.999999999999996,-49.5
0.25,13,1,1,6,-12.0,-49.5
0.25,14,1,1,5,-11.999999999999996,-49.5
0.25,15,1,1,4,-11.999999999999996,-49.5
0.25,16,1,1,5,-11.999999999999998,-49.5
0.25,17,0,0,4,-11.999999999999996,-47.52000000000001
0.25,18,1,1,4,-11.999999999999996,-49.5
0.25,19,1,1,4,-11.999999999999996,-49.5
0.25,20,0,0,3,-11.999999999999996,-45.58000000000001
0.25,21,0,0,4,-11.999999999999998,-45.58000000000001
0.25,22,1,1,5,-11.999999999999996,-49.5
